Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 8,False,SFG,"L,5-6",42,39,5,9,0,0,2,5,3,0,6,0,0,0,1,1,0,0,0.231,0.286,0.385,0.67,8,12,R,L.Webb(60),0.23076923076923078,0.2857142857142857,0.38461538461538464,0.6703296703296704
2,Apr 9,False,SFG,"W,2-1",35,32,2,5,2,0,0,1,3,0,14,0,0,0,1,1,0,0,0.197,0.26,0.31,0.57,6,10,L,C.Rodón(67),0.15625,0.22857142857142856,0.21875,0.44732142857142854
3,Apr 10,False,SFG,"L,2-3",37,34,2,11,1,0,0,2,1,0,9,1,0,1,0,1,0,0,0.238,0.289,0.324,0.613,8,11,R,A.DeSclafani(41),0.3235294117647059,0.35135135135135137,0.35294117647058826,0.7042925278219396
4,Apr 11,False,LAA,"L,2-6",30,30,2,3,1,0,2,2,0,0,11,0,0,0,0,0,0,0,0.207,0.25,0.326,0.576,1,9,R,M.Lorenzen(71),0.1,0.1,0.3333333333333333,0.43333333333333335
5,Apr 12,False,LAA,"L,3-4",38,31,3,5,0,0,1,2,7,0,8,0,0,0,1,1,0,1,0.199,0.264,0.313,0.577,8,10,L,P.Sandoval(57),0.16129032258064516,0.3157894736842105,0.25806451612903225,0.5738539898132428
6,Apr 14,True,PHI,"W,4-3",34,29,4,6,1,1,1,4,5,0,8,0,0,0,0,1,0,0,0.2,0.273,0.328,0.601,6,11,R,K.Gibson(41),0.20689655172413793,0.3235294117647059,0.41379310344827586,0.7373225152129818
7,Apr 15,True,PHI,"W,7-1",39,32,7,11,4,2,0,7,4,0,8,1,0,2,0,0,1,0,0.22,0.294,0.366,0.66,8,10,R,Z.Eflin(37),0.34375,0.41025641025641024,0.59375,1.0040064102564101
8,Apr 16,True,PHI,"L,3-10",37,33,3,8,2,0,2,3,4,0,7,0,0,0,0,2,0,0,0.223,0.298,0.381,0.679,7,11,L,R.Suárez(48),0.24242424242424243,0.32432432432432434,0.48484848484848486,0.8091728091728092
9,Apr 17,True,PHI,"W,11-3",48,37,11,13,1,2,0,11,6,1,8,4,0,1,1,0,0,0,0.239,0.324,0.394,0.717,13,9,R,Z.Wheeler(15),0.35135135135135137,0.4791666666666667,0.4864864864864865,0.9656531531531531
10,Apr 19,True,STL,"L,1-5",36,34,1,8,1,0,1,1,2,0,10,0,0,0,0,0,0,0,0.239,0.319,0.39,0.709,8,11,R,A.Wainwright(59),0.23529411764705882,0.2777777777777778,0.35294117647058826,0.630718954248366
11,Apr 20,True,STL,"L,0-2",35,32,0,5,0,0,0,0,2,0,11,1,0,0,0,0,1,0,0.231,0.311,0.369,0.681,8,11,R,M.Mikolas(64),0.15625,0.22857142857142856,0.15625,0.38482142857142854
12,Apr 21,True,STL,"W,5-0",34,30,5,7,1,0,2,4,4,0,5,0,0,0,0,2,1,0,0.232,0.312,0.377,0.689,5,10,R,J.Hicks(52),0.23333333333333334,0.3235294117647059,0.4666666666666667,0.7901960784313726
13,Apr 22,False,ATL,"L,0-3",36,32,0,5,0,0,0,0,3,0,16,1,0,0,0,0,0,0,0.226,0.308,0.36,0.668,9,12,R,K.Wright(74),0.15625,0.25,0.15625,0.40625
14,Apr 23,False,ATL,"W,9-7",48,40,9,14,2,0,1,9,7,1,11,0,0,1,1,1,4,0,0.237,0.319,0.37,0.689,12,11,R,I.Anderson(46),0.35,0.4375,0.475,0.9125
15,Apr 24,False,ATL,"W,5-4",44,36,5,11,6,1,0,5,7,0,12,0,0,1,0,1,1,0,0.242,0.326,0.381,0.708,12,10,R,B.Elder(44),0.3055555555555556,0.4090909090909091,0.5277777777777778,0.9368686868686869
16,Apr 26,False,WSN,"W,5-2",40,36,5,9,3,0,1,5,4,0,11,0,0,0,0,0,2,0,0.242,0.326,0.384,0.71,8,10,R,J.Gray(46),0.25,0.325,0.4166666666666667,0.7416666666666667
17,Apr 27,False,WSN,"W,2-1",35,29,2,4,0,0,1,2,5,0,8,1,0,0,0,1,0,1,0.237,0.324,0.376,0.7,6,10,R,E.Fedde(52),0.13793103448275862,0.2857142857142857,0.2413793103448276,0.5270935960591133
18,Apr 28,False,WSN,"W,3-2",36,32,3,5,3,0,0,2,2,0,9,2,0,0,1,0,2,1,0.232,0.32,0.37,0.69,6,12,L,P.Corbin(60),0.15625,0.25,0.25,0.5
19,Apr 29,True,SEA,"W,8-6",37,32,8,10,1,1,2,8,3,0,9,2,0,0,0,0,0,1,0.237,0.325,0.381,0.706,5,9,R,M.Brash(19),0.3125,0.40540540540540543,0.59375,0.9991554054054055
20,Apr 30,True,SEA,"W,3-1",34,29,3,6,1,0,0,3,5,0,12,0,0,0,0,1,0,0,0.235,0.325,0.375,0.699,7,11,L,R.Ray(51),0.20689655172413793,0.3235294117647059,0.2413793103448276,0.5649087221095335
21,May 1,True,SEA,"L,3-7",42,38,3,10,1,0,2,3,4,0,8,0,0,0,1,0,0,0,0.237,0.325,0.379,0.704,12,11,R,L.Gilbert(60),0.2631578947368421,0.3333333333333333,0.4473684210526316,0.7807017543859649
22,May 2,True,ARI,"L,4-5",38,34,4,8,2,0,0,4,1,0,6,3,0,0,0,0,1,0,0.237,0.325,0.375,0.699,7,10,R,Z.Gallen(60),0.23529411764705882,0.3157894736842105,0.29411764705882354,0.609907120743034
23,May 3,True,ARI,"L,4-5",37,33,4,6,1,0,0,4,3,0,7,1,0,0,0,0,0,0,0.234,0.322,0.368,0.69,6,11,R,H.Castellanos(65),0.18181818181818182,0.2702702702702703,0.21212121212121213,0.48239148239148244
24,May 4,True,ARI,"L,7-8",40,35,7,10,1,0,3,6,4,0,8,0,0,1,0,1,1,0,0.237,0.323,0.377,0.7,6,12,L,M.Bumgarner(47),0.2857142857142857,0.35,0.5714285714285714,0.9214285714285714
25,May 5,False,SDP,"L,1-2",32,31,1,5,1,0,0,1,1,0,6,0,0,0,0,1,1,0,0.234,0.319,0.37,0.689,4,11,R,N.Martínez(68),0.16129032258064516,0.1875,0.1935483870967742,0.3810483870967742
26,May 6,False,SDP,"L,2-3",34,33,2,6,0,0,1,2,1,0,4,0,0,0,0,0,0,0,0.232,0.315,0.366,0.681,5,11,R,Y.Darvish(62),0.18181818181818182,0.20588235294117646,0.2727272727272727,0.47860962566844917
27,May 7,False,SDP,"W,8-0",41,37,8,10,5,0,2,8,4,0,11,0,0,0,0,0,0,0,0.233,0.316,0.374,0.69,6,10,L,S.Manaea(53),0.2702702702702703,0.34146341463414637,0.5675675675675675,0.909030982201714
28,May 8,False,SDP,"L,2-3",34,31,2,5,2,0,1,2,1,0,9,1,0,1,0,0,1,0,0.231,0.312,0.373,0.685,5,9,R,J.Musgrove(66),0.16129032258064516,0.20588235294117646,0.3225806451612903,0.5284629981024668
29,May 9,False,ARI,"L,3-4",35,33,3,9,0,0,1,3,1,0,6,0,0,0,0,2,0,1,0.232,0.312,0.372,0.684,5,10,R,H.Castellanos(51),0.2727272727272727,0.2857142857142857,0.36363636363636365,0.6493506493506493
30,May 10,False,ARI,"L,3-9",38,37,3,9,0,0,1,3,1,0,8,0,0,0,1,0,0,0,0.233,0.31,0.371,0.681,8,10,L,M.Bumgarner(57),0.24324324324324326,0.2631578947368421,0.32432432432432434,0.5874822190611664
31,May 11,False,ARI,"W,11-3",43,40,11,15,1,0,3,11,3,0,10,0,0,0,0,1,0,0,0.238,0.314,0.38,0.695,5,11,R,M.Kelly(43),0.375,0.4186046511627907,0.625,1.0436046511627908
32,May 13,True,MIL,"L,1-2",30,30,1,5,0,0,1,1,0,0,9,0,0,0,0,1,0,1,0.236,0.311,0.377,0.688,2,10,R,C.Burnes(70),0.16666666666666666,0.16666666666666666,0.26666666666666666,0.43333333333333335
33,May 14,True,MIL,"W,9-3",41,36,9,11,2,0,3,8,4,0,9,0,0,0,0,0,1,0,0.238,0.313,0.385,0.697,8,10,L,E.Lauer(46),0.3055555555555556,0.36585365853658536,0.6111111111111112,0.9769647696476965
34,May 15,True,MIL,"L,3-7",36,34,3,5,2,0,1,3,2,0,14,0,0,0,1,0,0,0,0.236,0.309,0.382,0.691,6,9,R,B.Woodruff(53),0.14705882352941177,0.19444444444444445,0.29411764705882354,0.488562091503268
35,May 16,True,WSN,"W,8-2",39,36,8,16,5,0,1,7,3,1,6,0,0,0,0,3,0,1,0.242,0.315,0.391,0.705,7,9,R,A.Sanchez(28),0.4444444444444444,0.48717948717948717,0.6666666666666666,1.1538461538461537
36,May 17,True,WSN,"W,5-1",36,35,5,11,3,0,2,3,0,0,5,1,0,0,0,0,0,0,0.244,0.315,0.396,0.711,7,10,R,J.Adon(52),0.3142857142857143,0.3333333333333333,0.5714285714285714,0.9047619047619047
37,May 18,True,WSN,"L,4-5",41,34,4,7,0,1,1,4,3,0,10,1,0,3,0,0,0,0,0.243,0.314,0.395,0.709,8,11,R,J.Gray(55),0.20588235294117646,0.2682926829268293,0.35294117647058826,0.6212338593974176
38,May 20,True,ATL,"L,3-5",39,36,3,10,4,0,1,3,1,0,9,2,0,0,0,1,0,0,0.244,0.314,0.397,0.711,9,11,R,C.Morton(46),0.2777777777777778,0.3333333333333333,0.4722222222222222,0.8055555555555556
39,May 21,True,ATL,"L,3-4",39,34,3,8,2,1,0,3,5,0,12,0,0,0,0,0,0,0,0.244,0.315,0.396,0.711,9,12,R,K.Wright(66),0.23529411764705882,0.3333333333333333,0.35294117647058826,0.6862745098039216
40,May 22,True,ATL,"W,4-3",37,30,4,8,3,0,0,4,4,0,9,1,0,2,0,0,1,0,0.244,0.316,0.395,0.711,9,10,R,I.Anderson(46),0.26666666666666666,0.35135135135135137,0.36666666666666664,0.718018018018018
41,May 24,False,TBR,"L,0-4",32,29,0,5,0,0,0,0,3,0,10,0,0,0,0,2,0,0,0.243,0.314,0.391,0.705,5,9,L,S.McClanahan(71),0.1724137931034483,0.25,0.1724137931034483,0.4224137931034483
42,May 25,False,TBR,"L,4-5",38,34,4,9,2,0,1,4,4,0,12,0,0,0,1,2,0,0,0.243,0.315,0.391,0.706,7,11,R,D.Rasmussen(48),0.2647058823529412,0.34210526315789475,0.4117647058823529,0.7538699690402477
43,May 27,False,ATL,"L,4-6",35,32,4,5,0,0,2,4,3,0,10,0,0,0,1,1,1,0,0.241,0.313,0.39,0.703,4,10,R,I.Anderson(47),0.15625,0.22857142857142856,0.34375,0.5723214285714285
44,May 28,False,ATL,"W,4-1",40,33,4,8,1,0,1,4,6,0,6,0,0,1,0,1,2,0,0.242,0.314,0.389,0.703,9,10,L,T.Davidson(56),0.24242424242424243,0.35,0.36363636363636365,0.7136363636363636
45,May 29,False,ATL,"L,3-6",38,33,3,7,0,0,2,3,4,0,9,1,0,0,0,1,0,0,0.241,0.314,0.39,0.703,8,11,L,M.Fried(58),0.21212121212121213,0.3157894736842105,0.3939393939393939,0.7097288676236044
46,May 30,False,COL,"L,1-7",33,32,1,5,1,1,1,1,1,0,8,0,0,0,1,1,1,0,0.239,0.311,0.389,0.7,5,10,R,R.Feltner(70),0.15625,0.18181818181818182,0.34375,0.5255681818181819
47,Jun 1 (1),False,COL,"W,14-1",50,47,14,21,5,0,1,13,2,0,5,1,0,0,0,1,0,0,0.245,0.316,0.395,0.712,9,10,R,A.Senzatela(21),0.44680851063829785,0.48,0.6170212765957447,1.0970212765957448
48,Jun 1 (2),False,COL,"L,12-13",51,41,12,13,1,0,3,11,9,0,6,0,0,1,0,2,3,0,0.247,0.319,0.4,0.719,10,13,R,G.Márquez(29),0.3170731707317073,0.43137254901960786,0.5609756097560976,0.9923481587757055
49,Jun 2,True,SFG,"W,3-0",33,30,3,7,2,0,0,3,3,0,6,0,0,0,0,0,0,1,0.247,0.319,0.398,0.717,6,9,L,A.Wood(55),0.23333333333333334,0.30303030303030304,0.3,0.603030303030303
50,Jun 3,True,SFG,"L,6-15",39,36,6,8,2,0,2,6,3,0,12,0,0,0,1,0,0,0,0.246,0.318,0.399,0.717,6,12,R,J.Brebbia(52),0.2222222222222222,0.28205128205128205,0.4444444444444444,0.7264957264957265
51,Jun 4,True,SFG,"W,5-4",33,29,5,6,1,0,0,4,2,0,8,1,0,1,0,1,2,0,0.246,0.318,0.396,0.714,3,10,R,L.Webb(44),0.20689655172413793,0.2727272727272727,0.2413793103448276,0.5141065830721003
52,Jun 5,True,SFG,"L,1-5",34,32,1,5,1,0,1,1,2,0,9,0,0,0,0,0,0,0,0.244,0.316,0.394,0.71,6,10,R,J.Junis(70),0.15625,0.20588235294117646,0.28125,0.48713235294117646
53,Jun 7,True,WSN,"W,12-2",42,38,12,14,2,0,4,12,4,0,9,0,0,0,0,0,1,0,0.247,0.318,0.401,0.719,6,12,R,J.Adon(13),0.3684210526315789,0.42857142857142855,0.7368421052631579,1.1654135338345863
54,Jun 8,True,WSN,"W,2-1",40,36,2,9,0,0,0,2,3,0,9,0,0,0,0,0,1,1,0.247,0.318,0.398,0.716,11,11,R,J.Gray(60),0.25,0.3,0.25,0.55
55,Jun 9,True,WSN,"W,7-4",36,32,7,10,3,0,1,7,3,0,7,1,0,0,0,1,1,0,0.248,0.319,0.4,0.719,5,9,R,S.Strasburg(23),0.3125,0.3888888888888889,0.5,0.8888888888888888
56,Jun 10,False,HOU,"W,7-4",37,33,7,7,0,0,4,7,3,0,14,0,0,1,1,1,1,0,0.247,0.318,0.403,0.721,3,10,R,L.García(38),0.21212121212121213,0.2702702702702703,0.5757575757575758,0.8460278460278461
57,Jun 11,False,HOU,"W,5-1",38,33,5,6,1,0,0,5,3,0,9,2,0,0,1,1,4,0,0.246,0.318,0.4,0.717,6,10,L,F.Valdez(55),0.18181818181818182,0.2894736842105263,0.21212121212121213,0.5015948963317385
58,Jun 12,False,HOU,"L,4-9",33,32,4,3,0,0,1,3,1,0,6,0,0,0,2,0,1,0,0.244,0.315,0.396,0.711,2,9,R,J.Verlander(67),0.09375,0.12121212121212122,0.1875,0.3087121212121212
59,Jun 13,False,PHI,"L,2-3",33,33,2,6,3,0,0,2,0,0,8,0,0,0,0,0,1,0,0.243,0.313,0.394,0.707,4,9,R,A.Nola(63),0.18181818181818182,0.18181818181818182,0.2727272727272727,0.45454545454545453
60,Jun 14,False,PHI,"W,11-9",42,39,11,12,3,0,4,11,3,0,10,0,0,0,0,0,2,0,0.244,0.314,0.4,0.714,4,12,R,Z.Eflin(50),0.3076923076923077,0.35714285714285715,0.6923076923076923,1.0494505494505495
61,Jun 15,False,PHI,"L,1-3",32,32,1,7,1,0,1,1,0,0,8,0,0,0,0,2,2,0,0.243,0.312,0.399,0.711,4,9,R,K.Gibson(70),0.21875,0.21875,0.34375,0.5625
62,Jun 17,False,NYM,"L,4-10",43,37,4,10,2,0,1,3,5,0,11,1,0,0,0,0,1,0,0.244,0.313,0.399,0.713,12,11,R,C.Carrasco(50),0.2702702702702703,0.37209302325581395,0.40540540540540543,0.7774984286612194
