Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
26,Apr 28,False,WSN,"W,5-2",42,36,5,11,1,0,0,5,4,0,6,0,1,1,1,1,0,0,0.247,0.332,0.385,0.717,10,14,L,R.Detwiler(33),0.3055555555555556,0.35714285714285715,0.3333333333333333,0.6904761904761905
27,Apr 29,False,STL,"W,2-1",34,31,2,6,2,0,0,2,2,1,8,0,1,0,0,1,0,0,0.245,0.33,0.38,0.71,5,14,R,A.Wainwright(63),0.1935483870967742,0.23529411764705882,0.25806451612903225,0.49335863377609107
28,Apr 30,False,STL,"L,1-2",32,31,1,7,1,0,0,1,0,0,6,0,1,0,0,1,0,1,0.245,0.327,0.377,0.703,4,11,L,J.García(67),0.22580645161290322,0.21875,0.25806451612903225,0.47681451612903225
29,May 1,False,STL,"L,2-4",34,31,2,6,1,1,1,2,2,0,6,1,0,0,1,2,0,0,0.243,0.325,0.377,0.702,5,12,R,L.Lynn(66),0.1935483870967742,0.2647058823529412,0.3870967741935484,0.6518026565464896
30,May 3,False,CHC,"W,6-5",43,35,6,9,5,0,0,6,7,1,5,1,0,0,0,0,0,0,0.244,0.327,0.378,0.705,10,16,R,C.Villanueva(41),0.2571428571428571,0.3953488372093023,0.4,0.7953488372093023
31,May 4,False,CHC,"W,6-4",41,30,6,6,2,0,1,6,8,1,6,1,0,2,0,1,0,0,0.242,0.329,0.377,0.706,8,15,R,J.Samardzija(60),0.2,0.36585365853658536,0.36666666666666664,0.7325203252032519
32,May 5,False,CHC,"W,7-4",41,35,7,11,3,0,0,7,4,0,7,0,0,2,0,1,2,0,0.245,0.33,0.378,0.708,7,15,R,E.Jackson(39),0.3142857142857143,0.36585365853658536,0.4,0.7658536585365854
33,May 6,True,ATL,"L,4-7",39,33,4,9,3,0,0,4,3,0,9,1,2,0,0,0,0,1,0.246,0.33,0.378,0.708,8,15,L,P.Maholm(57),0.2727272727272727,0.3333333333333333,0.36363636363636365,0.696969696969697
34,May 7,True,ATL,"W,5-4",37,34,5,9,1,0,3,5,2,0,9,0,0,1,0,0,0,0,0.246,0.33,0.383,0.713,6,16,R,K.Medlen(65),0.2647058823529412,0.2972972972972973,0.5588235294117647,0.8561208267090621
35,May 8,True,ATL,"L,2-7",36,33,2,7,1,0,2,2,3,0,10,0,0,0,0,0,0,0,0.245,0.328,0.384,0.712,7,13,L,M.Minor(69),0.21212121212121213,0.2777777777777778,0.42424242424242425,0.702020202020202
36,May 10,True,MIL,"W,4-3",41,31,4,8,1,0,1,4,9,0,8,0,1,0,0,0,2,0,0.246,0.331,0.384,0.715,13,15,R,Y.Gallardo(40),0.25806451612903225,0.4146341463414634,0.3870967741935484,0.8017309205350118
37,May 11,True,MIL,"W,13-7",45,38,13,14,5,0,1,13,5,0,11,0,0,2,1,0,1,0,0.249,0.334,0.39,0.724,8,13,R,H.Burgos(-8),0.3684210526315789,0.4222222222222222,0.5789473684210527,1.001169590643275
38,May 12,True,MIL,"W,5-1",33,30,5,6,0,0,2,5,2,0,4,0,1,0,1,0,0,0,0.248,0.332,0.39,0.722,4,13,R,W.Peralta(49),0.2,0.24242424242424243,0.4,0.6424242424242425
39,May 14,False,MIA,"W,6-2",41,33,6,10,2,0,0,6,5,1,7,1,2,0,0,1,0,1,0.249,0.334,0.39,0.724,8,10,R,R.Nolasco(32),0.30303030303030304,0.3902439024390244,0.36363636363636365,0.753880266075388
40,May 15,False,MIA,"W,4-0",40,36,4,11,3,0,2,4,4,1,5,0,0,0,0,2,0,0,0.251,0.335,0.394,0.729,9,14,R,A.Sanabia(38),0.3055555555555556,0.375,0.5555555555555556,0.9305555555555556
41,May 16,False,MIA,"W,5-3",42,34,5,8,2,0,1,5,5,2,7,0,2,1,1,0,0,1,0.251,0.335,0.394,0.728,7,13,R,J.Fernández(61),0.23529411764705882,0.30952380952380953,0.38235294117647056,0.6918767507002801
42,May 17,False,PHI,"L,3-5",38,34,3,8,1,0,2,3,3,0,8,0,1,0,0,0,0,0,0.25,0.334,0.395,0.729,8,16,L,C.Lee(62),0.23529411764705882,0.2894736842105263,0.4411764705882353,0.7306501547987616
43,May 18,False,PHI,"W,10-0",49,41,10,16,4,0,2,9,5,2,5,1,1,1,0,0,1,0,0.254,0.337,0.401,0.739,12,12,R,K.Kendrick(38),0.3902439024390244,0.4489795918367347,0.6341463414634146,1.0831259333001493
44,May 19,False,PHI,"L,2-3",37,33,2,9,1,0,1,2,3,1,5,0,1,0,0,2,0,0,0.254,0.337,0.401,0.739,8,14,R,J.Pettibone(58),0.2727272727272727,0.32432432432432434,0.3939393939393939,0.7182637182637183
45,May 20,False,NYM,"W,4-3",40,36,4,8,1,0,1,4,3,1,10,1,0,0,0,0,0,0,0.254,0.337,0.4,0.736,9,16,R,S.Marcum(50),0.2222222222222222,0.3,0.3333333333333333,0.6333333333333333
46,May 21,False,NYM,"W,4-0",38,35,4,7,1,0,1,2,3,0,11,0,0,0,1,0,0,0,0.253,0.335,0.398,0.733,7,12,L,J.Niese(60),0.2,0.2631578947368421,0.3142857142857143,0.5774436090225563
47,May 22,False,NYM,"W,7-4",43,38,7,12,4,0,1,7,5,3,8,0,0,0,0,1,0,0,0.254,0.336,0.4,0.737,9,14,R,M.Harvey(42),0.3157894736842105,0.3953488372093023,0.5,0.8953488372093024
48,May 24,True,CHC,"W,7-4",35,34,7,10,0,0,3,7,1,0,8,0,0,0,0,0,0,0,0.255,0.336,0.404,0.74,4,14,R,S.Feldman(38),0.29411764705882354,0.3142857142857143,0.5588235294117647,0.873109243697479
49,May 25,True,CHC,"W,5-2",35,29,5,7,1,0,0,5,4,0,6,0,1,1,0,0,0,0,0.255,0.336,0.401,0.737,6,13,L,T.Wood(37),0.2413793103448276,0.3142857142857143,0.27586206896551724,0.5901477832512315
50,May 26,True,CHC,"L,4-5",45,35,4,5,1,1,1,4,7,1,9,2,0,0,0,0,0,0,0.252,0.335,0.4,0.735,11,15,R,M.Garza(41),0.14285714285714285,0.3111111111111111,0.3142857142857143,0.6253968253968254
51,May 27,True,CLE,"W,4-2",33,27,4,6,1,0,2,4,4,0,7,0,1,1,1,2,0,0,0.252,0.335,0.401,0.736,5,12,R,U.Jiménez(63),0.2222222222222222,0.30303030303030304,0.48148148148148145,0.7845117845117845
52,May 28,True,CLE,"W,8-2",44,40,8,18,4,0,0,7,2,0,11,2,0,0,0,0,1,0,0.256,0.339,0.404,0.743,12,13,R,Z.McAllister(41),0.45,0.5,0.55,1.05
53,May 29,False,CLE,"L,2-5",37,32,2,6,0,0,2,2,4,0,11,1,0,0,1,2,0,0,0.255,0.338,0.404,0.741,8,9,R,J.Masterson(63),0.1875,0.2972972972972973,0.375,0.6722972972972974
