Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 2,False,TBR,"W,7-4",42,38,7,13,4,0,2,7,4,1,6,0,0,0,0,1,0,1,0.342,0.405,0.605,1.01,8,9,L,D.Price(52),0.34210526315789475,0.40476190476190477,0.6052631578947368,1.0100250626566416
2,Apr 3,False,TBR,"L,7-8",39,36,7,11,4,0,1,7,2,0,3,0,1,0,0,1,0,0,0.324,0.375,0.554,0.929,5,9,R,J.Hellickson(38),0.3055555555555556,0.3333333333333333,0.5,0.8333333333333333
3,Apr 4,False,TBR,"W,6-3",40,36,6,9,2,0,2,6,3,1,8,1,0,0,0,0,4,0,0.3,0.358,0.527,0.886,7,11,R,R.Hernández(51),0.25,0.325,0.4722222222222222,0.7972222222222223
4,Apr 5,True,MIN,"W,9-5",43,37,9,14,2,0,1,9,4,1,4,0,1,1,0,0,1,0,0.32,0.377,0.524,0.9,10,10,R,L.Hendriks(32),0.3783783783783784,0.4186046511627907,0.5135135135135135,0.9321181646763042
5,Apr 6,True,MIN,"L,5-6",39,37,5,11,2,0,0,4,2,0,4,0,0,0,0,1,0,0,0.315,0.368,0.489,0.857,7,9,R,V.Worley(30),0.2972972972972973,0.3333333333333333,0.35135135135135137,0.6846846846846847
6,Apr 7,True,MIN,"L,3-4",36,32,3,7,1,0,1,3,4,0,8,0,0,0,0,2,0,0,0.301,0.359,0.468,0.826,6,11,L,P.Hernández(47),0.21875,0.3055555555555556,0.34375,0.6493055555555556
7,Apr 8,False,BOS,"L,1-3",35,31,1,5,1,0,1,1,4,0,11,0,0,0,0,1,0,0,0.283,0.346,0.445,0.791,7,9,R,C.Buchholz(75),0.16129032258064516,0.2571428571428571,0.2903225806451613,0.5474654377880184
8,Apr 10,False,BOS,"W,8-5",39,34,8,6,0,0,3,6,5,0,14,0,0,0,1,0,1,0,0.27,0.338,0.445,0.782,4,11,R,R.Dempster(58),0.17647058823529413,0.28205128205128205,0.4411764705882353,0.7232277526395173
9,Apr 11,False,BOS,"W,3-2",40,34,3,9,2,0,1,3,6,1,7,0,0,0,0,1,0,0,0.27,0.342,0.441,0.783,10,9,R,A.Aceves(48),0.2647058823529412,0.375,0.4117647058823529,0.7867647058823529
10,Apr 12,False,NYY,"L,2-5",33,33,2,9,1,0,0,2,0,0,9,0,0,0,1,2,0,0,0.27,0.336,0.428,0.764,4,9,L,C.Sabathia(69),0.2727272727272727,0.2727272727272727,0.30303030303030304,0.5757575757575757
