Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
30,May 3 (1),True,TOR,"L,11-13",52,46,11,16,4,0,2,11,5,0,11,1,0,0,0,0,3,2,0.241,0.309,0.419,0.728,8,12,L,J.García(25),0.34782608695652173,0.4230769230769231,0.5652173913043478,0.9882943143812708
31,May 3 (2),True,TOR,"W,13-4",48,39,13,16,5,0,1,12,8,0,8,0,0,1,0,0,0,0,0.247,0.317,0.426,0.742,11,10,R,J.Biagini(22),0.41025641025641024,0.5,0.6153846153846154,1.1153846153846154
32,May 4,False,NYY,"L,6-7",38,36,6,10,2,0,2,5,1,0,12,1,0,0,0,0,0,1,0.248,0.317,0.428,0.744,5,11,L,C.Sabathia(73),0.2777777777777778,0.3157894736842105,0.5,0.8157894736842105
33,May 5,False,NYY,"L,2-5",34,32,2,5,3,0,1,2,2,0,13,0,0,0,0,0,0,0,0.245,0.314,0.426,0.739,5,10,R,S.Gray(61),0.15625,0.20588235294117646,0.34375,0.5496323529411764
34,May 6,False,NYY,"L,4-7",33,30,4,4,1,0,0,3,2,0,13,0,0,1,0,0,1,0,0.242,0.31,0.419,0.729,2,11,R,D.Germán(79),0.13333333333333333,0.18181818181818182,0.16666666666666666,0.3484848484848485
35,May 8,False,MIL,"L,2-3",34,32,2,6,1,0,2,2,2,0,10,0,0,0,0,0,0,0,0.241,0.308,0.419,0.727,5,13,L,W.Miley(48),0.1875,0.23529411764705882,0.40625,0.6415441176470589
36,May 9,False,MIL,"W,6-2",39,37,6,11,2,1,2,6,2,0,10,0,0,0,0,0,2,0,0.242,0.309,0.423,0.732,6,10,R,J.Guerra(46),0.2972972972972973,0.3333333333333333,0.5675675675675675,0.9009009009009008
37,May 11,True,KCR,"L,9-10",41,34,9,8,1,0,3,9,7,0,6,0,0,0,0,1,0,0,0.242,0.311,0.426,0.737,5,10,R,J.Hammel(11),0.23529411764705882,0.36585365853658536,0.5294117647058824,0.8952654232424677
38,May 12,True,KCR,"W,6-2",36,33,6,9,3,0,2,6,3,1,9,0,0,0,0,0,0,0,0.243,0.311,0.429,0.74,6,9,R,J.Junis(46),0.2727272727272727,0.3333333333333333,0.5454545454545454,0.8787878787878787
39,May 13,True,KCR,"W,11-2",45,38,11,15,3,0,3,11,6,0,6,1,0,0,0,1,1,0,0.247,0.317,0.437,0.753,10,9,L,D.Duffy(5),0.39473684210526316,0.4888888888888889,0.7105263157894737,1.1994152046783626
40,May 14,False,DET,"L,3-6",38,35,3,7,1,1,1,3,3,0,8,0,0,0,1,0,0,0,0.246,0.315,0.435,0.75,8,10,R,M.Fiers(66),0.2,0.2631578947368421,0.37142857142857144,0.6345864661654135
41,May 15,False,DET,"L,8-9",47,39,8,13,4,0,2,8,8,1,5,0,0,0,1,2,1,0,0.248,0.319,0.439,0.758,12,10,L,F.Liriano(29),0.3333333333333333,0.44680851063829785,0.5897435897435898,1.0365521003818876
42,May 16,False,DET,"W,6-0",40,36,6,10,1,0,1,6,2,0,4,1,0,1,1,1,0,0,0.249,0.319,0.438,0.757,7,10,L,R.Carpenter(30),0.2777777777777778,0.325,0.3888888888888889,0.7138888888888889
43,May 18,False,HOU,"L,1-4",37,35,1,8,0,0,1,1,2,0,9,0,0,0,0,0,0,0,0.249,0.318,0.435,0.753,9,9,R,C.Morton(72),0.22857142857142856,0.2702702702702703,0.3142857142857143,0.5845559845559846
44,May 19,False,HOU,"W,5-4",35,31,5,7,3,0,2,5,4,0,6,0,0,0,0,1,0,2,0.248,0.318,0.437,0.755,3,10,L,D.Keuchel(40),0.22580645161290322,0.3142857142857143,0.5161290322580645,0.8304147465437788
45,May 20,False,HOU,"L,1-3",32,30,1,3,1,0,0,1,2,0,10,0,0,0,0,0,0,0,0.245,0.315,0.431,0.746,4,9,R,L.McCullers(81),0.1,0.15625,0.13333333333333333,0.2895833333333333
