,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
23,24,Apr 23,False,ARI,"W,7-5",9.0,6,5,5,0,5,8,3,0,4.34,37,148,94,3,0,1,0,31,1,1,0,0,1,0,1,4,Mike Muchlinski,"Y.Darvish (6-61-W), B.Honeywell (2-H), T.Hill (0), J.Hader (0-Sv)"
24,25,Apr 25,False,CHC,"L,0-6",8.0,7,6,6,0,8,5,1,0,4.43,38,166,93,3,3,0,0,30,0,1,0,0,0,0,1,5,Adam Beck,"B.Snell (6-51-L), L.García (3), R.Weathers (2), S.Wilson (2), R.Kerr (3)"
25,26,Apr 26,False,CHC,"W,5-3",9.0,8,3,3,0,2,8,1,0,4.37,37,171,109,0,0,1,0,35,2,0,0,0,0,0,0,3,Clint Vondrak,"M.Wacha (5-51), N.Martínez (6-W), J.Hader (2-Sv)"
26,27,Apr 27,False,CHC,"L,2-5",8.0,9,5,5,0,0,6,3,1,4.41,33,138,90,0,0,0,1,32,1,0,0,0,0,0,0,4,Gabe Morales,"S.Lugo (5-40-L), B.Honeywell (3), T.Hill (3), L.García (1)"
27,28,Apr 29,True,SFG,"W,16-11",9.0,13,11,11,0,5,12,5,1,4.65,45,197,118,3,2,0,0,39,4,0,0,0,0,0,0,6,Alfonso Márquez,"J.Musgrove (6-22), B.Honeywell (1), T.Hill (1-H), S.Wilson (3-BSv), T.Cosgrove (99-W), N.Martínez (2-Sv)"
28,29,Apr 30,True,SFG,"W,6-4",9.0,9,4,4,0,0,11,3,1,4.63,37,137,89,0,0,0,1,36,1,0,0,0,0,1,0,3,Pat Hoberg,"Y.Darvish (6-47), L.García (2-W), J.Hader (3-Sv)"
29,30,May 1,True,CIN,"W,8-3",9.0,8,3,3,0,0,11,1,0,4.57,35,139,92,0,0,0,0,35,1,0,0,0,0,0,0,3,Chad Fairchild,"B.Snell (5-51-W), S.Wilson (1-H), D.Tapia (15-Sv)"
30,31,May 2,True,CIN,"L,1-2",10.0,6,2,1,1,3,6,0,1,4.44,40,153,96,0,0,1,0,36,0,0,0,0,0,1,1,4,Nic Lentz,"M.Wacha (5-69), N.Martínez (2-BSv), J.Hader (1), L.García (1-L)"
31,32,May 3,True,CIN,"W,7-1",9.0,8,1,1,0,2,5,1,0,4.33,35,145,95,0,0,0,0,33,0,0,0,0,0,0,1,4,Jeremie Rehak,"S.Lugo (5-57-W), B.Honeywell (3), T.Hill (3), T.Cosgrove (3)"
32,33,May 5,True,LAD,"W,5-2",9.0,4,2,1,1,2,9,0,0,4.23,32,125,79,1,0,0,0,30,2,1,0,0,0,0,0,3,John Libka,"Y.Darvish (4-65-W), N.Martínez (2-H), J.Hader (2-Sv)"
33,34,May 6,True,LAD,"L,1-2",9.0,3,2,2,0,5,8,1,1,4.16,36,145,80,0,0,1,0,30,0,0,0,0,0,0,0,4,Edwin Jimenez,"B.Snell (4-65-L), T.Hill (2), B.Honeywell (2), S.Wilson (4)"
34,35,May 7,True,LAD,"L,2-5",10.0,6,5,3,2,5,11,2,1,4.12,43,169,99,3,0,0,0,37,2,0,0,0,0,1,0,6,James Hoye,"J.Musgrove (7-63), T.Hill (0-H), S.Wilson (0-H), N.Martínez (1-H), J.Hader (1-BSv), B.Honeywell (0-L)"
35,36,May 9,False,MIN,"W,6-1",9.0,6,1,1,0,5,9,0,0,4.03,38,144,89,2,0,1,0,33,2,0,0,0,0,0,0,5,Tripp Gibson,"M.Wacha (6-63-W), L.García (6-H), S.Wilson (1-H), N.Martínez (1-H), T.Hill (1)"
36,37,May 10,False,MIN,"L,3-4",10.0,9,4,2,2,4,8,1,0,3.96,40,144,90,0,0,0,0,36,3,0,2,0,0,0,2,6,Brennan Miller,"S.Lugo (6-58), B.Honeywell (2), T.Hill (0), L.García (0), J.Hader (2-BSv), D.Tapia (8-L)"
37,38,May 11,False,MIN,"L,3-5",8.0,6,5,5,0,3,9,1,2,4.0,35,121,73,2,2,0,0,30,2,0,0,0,0,0,0,4,Brock Ballou,"Y.Darvish (5-62), B.Honeywell (0-BL), S.Wilson (1), T.Cosgrove (7)"
38,39,May 12,False,LAD,"L,2-4",8.0,6,4,4,0,4,6,2,0,4.01,34,131,77,0,0,0,0,30,2,0,0,0,0,1,1,4,Jeremy Riggs,"B.Snell (5-56), T.Hill (1-L), L.García (1), D.Tapia (1)"
39,40,May 13,False,LAD,"L,2-4",8.0,8,4,4,0,5,7,1,0,4.02,36,132,83,0,0,0,0,31,2,0,1,0,0,0,0,3,Rob Drake,"J.Musgrove (5-38-L), T.Cosgrove (1), N.Martínez (3)"
40,41,May 14,False,LAD,"L,0-4",8.0,4,4,4,0,4,4,1,0,4.03,30,115,72,2,2,0,0,26,2,0,0,0,0,0,2,3,Bill Miller,"R.Weathers (18-46-L), B.Honeywell (2), T.Cosgrove (0)"
41,42,May 15,True,KCR,"W,4-0",9.0,2,0,0,0,1,13,0,1,3.94,31,123,89,1,0,1,0,29,0,0,0,0,0,0,0,2,Lance Barrett,"M.Wacha (5-85-W), N.Martínez (1)"
42,43,May 16,True,KCR,"L,4-5",9.0,8,5,5,0,3,10,0,1,3.96,38,146,97,0,0,1,0,34,2,0,0,0,0,0,0,6,Charlie Ramos,"S.Lugo (5-28-L), D.Carlton (99), L.García (3), S.Wilson (4), N.Martínez (0), J.Hader (5)"
43,44,May 17,True,KCR,"L,3-4",9.0,9,4,4,0,2,10,1,0,3.96,37,143,91,3,0,2,0,34,3,0,0,1,0,0,1,5,Alfonso Márquez,"Y.Darvish (5-44-L), T.Hill (4), S.Wilson (0), T.Cosgrove (2), L.García (0)"
44,45,May 19,True,BOS,"L,1-6",9.0,8,6,6,0,3,8,2,0,4.01,38,145,89,0,0,0,0,35,2,0,0,0,0,1,1,3,Stu Scheurwater,"B.Snell (6-31-L), B.Honeywell (4), T.Cosgrove (1)"
45,46,May 20,True,BOS,"L,2-4",9.0,7,4,4,0,2,9,1,1,4.01,38,163,104,0,0,3,0,35,3,0,0,0,0,0,0,4,Malachi Moore,"J.Musgrove (6-44-L), L.García (2), T.Hill (2), S.Wilson (2)"
46,47,May 21,True,BOS,"W,7-0",9.0,7,0,0,0,3,9,0,0,3.92,35,143,92,0,0,0,0,32,0,0,0,0,0,0,2,4,Mark Wegner,"M.Wacha (5-65-W), T.Cosgrove (1), N.Martínez (4), J.Hader (4)"
47,48,May 23,False,WSN,"W,7-4",9.0,9,4,4,0,1,7,2,0,3.92,36,138,102,0,0,0,0,35,1,0,0,0,0,0,1,4,Nestor Ceja,"Y.Darvish (5-51-W), T.Hill (2), N.Martínez (1), J.Hader (1-Sv)"
48,49,May 24,False,WSN,"L,3-5",8.0,9,5,4,1,3,6,0,0,3.93,35,134,84,2,0,2,0,31,2,0,0,0,1,0,0,3,Brian O'Nora,"R.Weathers (9-42-L), L.García (3), T.Cosgrove (2)"
49,50,May 25,False,WSN,"W,8-6",9.0,12,6,5,1,4,9,0,1,3.96,43,176,106,2,2,0,0,38,2,1,0,0,0,0,0,6,Pat Hoberg,"B.Snell (5-57), B.Honeywell (5), T.Hill (1), N.Martínez (1-BSv), D.Carlton (8-W), J.Hader (1-Sv)"
50,51,May 26,False,NYY,"W,5-1",9.0,7,1,1,0,0,11,0,0,3.9,34,125,89,2,0,0,0,34,1,0,0,0,0,0,0,3,Chad Whitson,"J.Musgrove (5-63-W), S.Wilson (5-H), J.Hader (0)"
51,52,May 27,False,NYY,"L,2-3",9.1,8,3,2,1,1,5,1,0,3.86,33,121,88,0,0,0,1,32,1,0,1,0,0,0,2,2,Rob Drake,"M.Wacha (5-63), N.Martínez (1-L)"
52,53,May 28,False,NYY,"L,7-10",8.0,12,10,10,0,0,8,2,0,3.98,36,143,94,1,1,2,0,36,3,0,0,0,0,0,0,4,Bill Miller,"Y.Darvish (4-18-L), D.Carlton (2), D.Tapia (15), B.Honeywell (2)"
53,54,May 30,False,MIA,"W,9-4",9.0,10,4,4,0,8,7,1,0,3.98,42,185,114,3,1,1,0,33,0,0,0,1,0,0,3,6,Jordan Baker,"R.Weathers (5-37), D.Tapia (1), T.Hill (4), S.Wilson (3), N.Martínez (2-W), B.Honeywell (1)"
54,55,May 31,False,MIA,"L,1-2",8.1,6,2,2,0,5,8,0,0,3.95,34,143,86,0,0,1,0,27,0,0,0,2,0,0,3,4,Brennan Miller,"B.Snell (5-70), S.Wilson (0-H), N.Martínez (0-H), J.Hader (4-BL)"
55,56,Jun 1,False,MIA,"W,10-1",9.0,4,1,0,1,3,5,0,0,3.88,32,119,83,0,0,1,0,28,0,0,0,0,1,0,2,3,Nate Tomlinson,"J.Musgrove (5-64-W), D.Carlton (3), T.Cosgrove (7)"
56,57,Jun 2,True,CHC,"L,1-2",9.0,4,2,2,0,5,13,1,0,3.85,35,159,101,2,0,0,1,30,0,0,0,0,0,0,0,4,Ryan Wills,"M.Wacha (5-53-L), T.Cosgrove (0), S.Wilson (1), T.Hill (2)"
57,58,Jun 3,True,CHC,"W,6-0",9.0,2,0,0,0,2,12,0,0,3.78,31,144,93,0,0,0,0,29,0,0,0,0,0,0,0,3,Mark Ripperger,"Y.Darvish (5-81-W), N.Martínez (2-H), B.Honeywell (3)"
58,59,Jun 4,True,CHC,"L,1-7",9.0,11,7,6,1,3,8,3,1,3.82,37,152,95,1,0,0,0,33,2,0,0,0,0,0,3,4,Shane Livensparger,"R.Weathers (4-23-L), D.Carlton (2), D.Tapia (4), T.Cosgrove (1)"
59,60,Jun 5,True,CHC,"W,5-0",9.0,4,0,0,0,3,12,0,1,3.75,35,154,97,0,0,0,0,31,0,0,0,0,0,0,0,4,Phil Cuzzi,"B.Snell (4-73-W), S.Wilson (2), N.Martínez (1), T.Hill (2)"
60,61,Jun 6,True,SEA,"L,1-4",9.0,8,4,4,0,3,11,2,0,3.76,36,172,111,0,0,0,1,33,1,0,0,0,0,0,1,5,Alex Tosi,"J.Musgrove (4-62), B.Honeywell (2-L), T.Cosgrove (1), S.Wilson (0), D.Tapia (1)"
61,62,Jun 7,True,SEA,"W,10-3",9.0,4,3,3,0,5,8,0,1,3.75,36,137,86,0,0,0,0,30,2,0,0,0,0,0,1,4,Tony Randazzo,"M.Wacha (4-74-W), T.Hill (1), D.Carlton (2), J.Hader (6)"
62,63,Jun 9,False,COL,"W,9-6",9.0,10,6,6,0,5,10,1,0,3.78,40,152,99,2,2,1,0,35,1,0,0,0,0,0,1,4,Jerry Layne,"Y.Darvish (5-44-W), T.Cosgrove (2), N.Martínez (3), J.Hader (1-Sv)"
63,64,Jun 10,False,COL,"W,3-2",9.0,5,2,2,0,1,7,1,0,3.75,32,136,90,0,0,0,2,31,0,0,0,0,0,0,0,6,Adam Hamari,"R.Weathers (5-51), D.Carlton (2-W), S.Wilson (3-H), T.Hill (2-H), N.Martínez (0-H), J.Hader (0-Sv)"
64,65,Jun 11,False,COL,"L,4-5",8.2,8,5,5,0,0,13,4,1,3.77,33,115,78,1,0,0,0,31,0,0,0,1,0,0,0,4,Nick Mahrley,"B.Snell (5-79), L.García (17-BSv), T.Cosgrove (1), B.Honeywell (4-L)"
65,66,Jun 13,True,CLE,"W,6-3",9.0,9,3,3,0,2,9,1,0,3.76,37,130,92,0,0,0,0,34,1,0,0,0,1,0,0,4,Chris Segal,"J.Musgrove (6-50-W), S.Wilson (2-H), N.Martínez (2-H), J.Hader (2-Sv)"
66,67,Jun 14,True,CLE,"W,5-0",9.0,5,0,0,0,2,6,0,0,3.71,31,128,85,3,0,0,1,29,0,0,0,0,0,0,1,3,David Rackley,"M.Wacha (6-70-W), S.Wilson (0-H), T.Hill (3)"
67,68,Jun 15,True,CLE,"L,6-8",9.0,14,8,8,0,1,8,1,0,3.77,42,163,109,5,1,1,0,41,3,0,0,0,0,0,0,6,Edwin Moscoso,"R.Weathers (4-19-L), D.Carlton (4), T.Cosgrove (3), B.Honeywell (3), N.Martínez (1), L.García (3)"
68,69,Jun 16,True,TBR,"L,2-6",9.0,9,6,6,0,4,10,2,0,3.8,38,157,94,0,0,3,2,34,3,0,0,0,0,0,0,4,Alan Porter,"Y.Darvish (6-31-L), R.Kerr (51), B.Honeywell (0), N.Crismatt (58)"
69,70,Jun 17,True,TBR,"W,2-0",9.0,3,0,0,0,3,17,0,1,3.75,34,141,99,0,0,1,0,30,1,0,0,0,0,0,0,4,Jim Wolf,"B.Snell (5-77-W), S.Wilson (2-H), N.Martínez (1-H), J.Hader (3-Sv)"
