,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
45,46,May 19,True,MIN,"W,5-4",9.0,6,4,4,0,4,16,1,0,4.39,37,159,101,3.0,2.0,0,0,33,1,0,0,0,0,0,0,6,Bill Miller,"R.Detmers (5-62), J.Herget (2-BSv), T.Davidson (2), Z.Weiss (99-W), M.Moore (0-H), C.Estévez (0-Sv)"
46,47,May 20,True,MIN,"L,2-6",9.0,12,6,6,0,6,7,1,0,4.43,44,176,107,2.0,0.0,0,0,37,3,1,1,1,0,0,1,4,Roberto Ortiz,"P.Sandoval (5-41-L), Z.Weiss (0), A.Wantz (1), J.Herget (0)"
47,48,May 21,True,MIN,"W,4-2",9.0,7,2,2,0,4,13,1,1,4.38,36,152,96,3.0,0.0,0,0,31,1,0,0,0,0,0,3,5,Jeremy Riggs,"S.Ohtani (5-70), R.Moronta (99), C.Devenski (2-W), M.Moore (1-H), C.Estévez (1-Sv)"
48,49,May 22,True,BOS,"W,2-1",9.0,4,1,1,0,0,9,0,0,4.31,30,110,74,1.0,0.0,0,0,30,1,0,0,0,0,0,1,4,Ryan Blakney,"J.Barría (4-69), A.Loup (17-BSv), C.Devenski (0), C.Silseth (5-W)"
49,50,May 23,True,BOS,"W,4-0",9.0,2,0,0,0,4,7,0,0,4.22,32,113,71,0.0,0.0,0,0,28,0,0,0,0,0,0,1,3,Marvin Hudson,"G.Canning (5-75-W), M.Moore (1-H), J.Webb (99)"
50,51,May 24,True,BOS,"W,7-3",9.0,8,3,3,0,5,4,1,0,4.19,38,174,110,3.0,0.0,0,1,33,2,0,0,0,0,0,1,4,Hunter Wendelstedt,"T.Anderson (5-59-W), R.Moronta (2), C.Devenski (1-H), A.Loup (1)"
51,52,May 26,True,MIA,"L,2-6",9.0,16,6,6,0,4,12,2,0,4.23,45,172,109,3.0,0.0,0,1,41,0,0,0,0,0,0,1,3,Jeff Nelson,"R.Detmers (6-38-L), J.Webb (2), S.Bachman (99)"
52,53,May 27,True,MIA,"L,5-8",10.0,8,8,3,5,9,17,1,0,4.2,46,186,121,2.0,0.0,0,0,37,0,0,2,0,0,2,3,5,CB Bucknor,"S.Ohtani (5-61), C.Silseth (4-BSv), C.Devenski (2), C.Estévez (5), J.Barría (4-L)"
53,54,May 28,True,MIA,"L,0-2",9.0,9,2,2,0,2,7,1,1,4.16,37,130,88,0.0,0.0,1,0,34,1,0,1,0,0,0,2,3,Chris Segal,"P.Sandoval (7-48-L), J.Webb (1), A.Loup (3)"
54,55,May 29,False,CHW,"W,6-4",9.0,8,4,4,0,1,11,3,1,4.15,36,127,90,0.0,0.0,0,0,34,1,0,0,0,0,0,1,4,John Libka,"G.Canning (5-57-W), B.Joyce (99-H), C.Devenski (1-H), C.Estévez (1-Sv)"
55,56,May 30,False,CHW,"L,3-7",8.0,11,7,7,0,3,5,1,0,4.21,35,147,98,0.0,0.0,1,0,30,5,0,0,1,1,0,2,4,Clint Vondrak,"T.Anderson (5-27-L), C.Silseth (2), S.Bachman (3), A.Loup (1)"
56,57,May 31,False,CHW,"W,12-5",9.0,12,5,5,0,3,9,1,0,4.23,42,160,101,0.0,0.0,0,0,38,4,0,0,0,1,0,0,3,James Hoye,"J.Barría (3-58-W), J.Webb (2), T.Davidson (11-Sv)"
57,58,Jun 1,False,HOU,"L,2-5",8.0,9,5,5,0,2,6,0,0,4.25,35,128,84,0.0,0.0,1,0,32,4,0,0,0,1,0,0,4,Stu Scheurwater,"R.Detmers (5-39-L), J.Webb (0), B.Joyce (2), A.Loup (1)"
58,59,Jun 2,False,HOU,"L,2-6",8.0,10,6,5,1,3,8,2,0,4.27,37,146,92,0.0,0.0,0,0,34,1,0,0,0,0,1,0,2,Malachi Moore,"S.Ohtani (5-43-L), C.Silseth (2)"
59,60,Jun 3,False,HOU,"L,6-9",8.0,11,9,8,1,8,6,2,0,4.34,42,165,99,3.0,3.0,0,0,33,3,0,0,0,1,0,2,5,Mark Wegner,"P.Sandoval (5-25-L), J.Webb (1), S.Bachman (3), B.Joyce (1), J.Soriano (99)"
60,61,Jun 4,False,HOU,"W,2-1",9.0,5,1,1,0,2,6,1,1,4.29,34,126,82,0.0,0.0,0,0,31,1,0,0,0,0,0,1,3,Bruce Dreckman,"G.Canning (5-63), C.Devenski (5-W), C.Estévez (5-Sv)"
61,62,Jun 6,True,CHC,"W,7-4",9.0,8,4,4,0,5,11,0,1,4.28,40,156,100,3.0,0.0,0,0,34,2,0,0,0,0,0,0,5,Adam Hamari,"T.Anderson (6-43-W), J.Soriano (2-H), J.Webb (2-H), C.Devenski (1-H), C.Estévez (1-Sv)"
62,63,Jun 7,True,CHC,"W,6-2",9.0,3,2,2,0,4,7,0,0,4.24,33,137,88,0.0,0.0,0,0,29,1,0,0,0,0,0,1,4,Nick Mahrley,"J.Barría (6-55), B.Joyce (3-W), A.Loup (5), S.Bachman (3)"
63,64,Jun 8,True,CHC,"W,3-1",9.0,5,1,1,0,2,12,0,0,4.19,33,142,90,2.0,0.0,1,0,31,2,0,0,0,0,0,1,4,Vic Carapazza,"R.Detmers (6-61-W), C.Devenski (1-H), J.Soriano (1-H), C.Estévez (1-Sv)"
64,65,Jun 9,True,SEA,"W,5-4",9.0,4,4,4,0,9,7,2,1,4.19,39,176,91,1.0,0.0,1,0,29,0,0,0,0,0,0,1,5,Dan Bellino,"S.Ohtani (6-50), B.Joyce (1), J.Webb (2-W), S.Bachman (1-H), C.Estévez (0-Sv)"
65,66,Jun 10,True,SEA,"L,2-6",9.0,16,6,6,0,1,13,1,1,4.22,43,171,116,0.0,0.0,0,2,41,3,0,0,0,0,0,0,4,Phil Cuzzi,"P.Sandoval (6-35-L), A.Loup (2), G.Reyes (99), T.Davidson (9)"
66,67,Jun 11,True,SEA,"W,9-4",9.0,9,4,3,1,2,9,2,2,4.2,38,162,103,2.0,1.0,0,0,33,1,0,0,0,1,0,2,4,Ryan Wills,"G.Canning (6-46-W), C.Devenski (2-H), J.Soriano (2-H), J.Herget (21)"
67,68,Jun 12,False,TEX,"W,9-6",12.0,12,6,5,1,6,14,1,0,4.19,55,213,130,0.0,0.0,2,0,49,3,0,1,0,0,1,0,6,Ramon De Jesus,"T.Anderson (5-41), C.Devenski (0), J.Webb (2), C.Estévez (2), S.Bachman (2-W), A.Loup (1)"
