,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
22,23,Apr 23,False,MIL,"W,12-5",9.0,6,5,5,0,6,8,2,0,5.1,38,155,95,1,0,1,0,29,1,0,0,2,1,0,1,5,Lance Barrett,"B.Bello (5-43), R.Bleier (0), K.Ort (2-W), J.Schreiber (0), R.Brasier (2)"
23,24,Apr 24,False,BAL,"L,4-5",8.0,13,5,5,0,1,0,0,0,5.12,33,128,84,0,0,0,1,32,4,0,0,0,0,0,4,3,Junior Valentine,"C.Sale (5-28-L), R.Brasier (0), B.Bernardino (99)"
24,25,Apr 25,False,BAL,"W,8-6",9.0,11,6,5,1,0,4,3,0,5.11,39,135,97,0,0,0,0,39,0,0,0,0,0,0,0,4,Adrian Johnson,"C.Kluber (5-61-W), J.Winckowski (3), K.Ort (1), K.Jansen (3-Sv)"
25,26,Apr 26,False,BAL,"L,2-6",8.0,11,6,5,1,4,4,0,0,5.13,39,130,85,0,0,1,0,30,1,0,0,2,3,1,1,4,Manny Gonzalez,"T.Houck (5-39-L), R.Bleier (2), B.Bernardino (1), J.Schreiber (2)"
26,27,Apr 28,True,CLE,"L,2-5",9.0,8,5,5,0,2,8,2,1,5.13,37,152,111,0,0,2,0,33,2,0,0,0,1,0,0,2,Chris Segal,"N.Pivetta (6-44-L), K.Crawford (5)"
27,28,Apr 29,True,CLE,"W,8-7",10.0,14,7,6,1,4,10,2,0,5.14,46,190,121,3,3,2,1,42,1,0,0,0,0,0,1,7,Ben May,"B.Bello (5-57), R.Bleier (2), R.Brasier (4), J.Schreiber (2-H), J.Winckowski (3-H), K.Jansen (3-BSv), B.Bernardino (2-W)"
28,29,Apr 30,True,CLE,"W,7-1",9.0,4,1,1,0,0,7,0,1,4.99,33,135,96,0,0,0,0,32,1,0,0,0,0,1,0,4,Jeff Nelson,"C.Sale (5-68-W), J.Schreiber (0-H), R.Bleier (0), B.Bernardino (0)"
29,30,May 1,True,TOR,"W,6-5",9.0,9,5,4,1,6,10,1,0,4.96,43,161,98,1,0,2,0,37,3,0,0,0,0,1,0,4,Dan Merzel,"C.Kluber (5-49), B.Bernardino (0), C.Martin (18-H), J.Winckowski (1-BW)"
30,31,May 2,True,TOR,"W,7-6",9.0,8,6,6,0,3,6,1,0,4.99,37,120,74,0,0,1,0,34,1,0,0,0,0,0,1,4,Lance Barksdale,"T.Houck (5-38), J.Schreiber (1), R.Bleier (1-W), J.Winckowski (0-Sv)"
31,32,May 3,True,TOR,"W,8-3",9.0,7,3,3,0,2,8,2,0,4.93,35,145,98,0,0,0,0,33,2,0,0,0,0,0,1,4,Will Little,"N.Pivetta (4-53-W), C.Martin (1-H), K.Crawford (4), R.Brasier (3)"
32,33,May 4,True,TOR,"W,11-5",9.0,9,5,3,2,3,9,1,0,4.87,39,141,90,1,0,0,0,35,2,0,0,0,1,1,1,4,Ryan Additon,"B.Bello (4-47-W), B.Bernardino (2), J.Schreiber (1), R.Brasier (0)"
33,34,May 5,False,PHI,"W,5-3",9.0,8,3,3,0,2,14,0,1,4.81,38,145,100,0,0,0,0,35,1,1,0,0,0,1,0,4,Doug Eddings,"C.Sale (4-55-W), R.Bleier (2-H), C.Martin (1-H), K.Jansen (5-Sv)"
34,35,May 6,False,PHI,"W,7-4",9.0,10,4,4,0,1,4,2,1,4.79,39,147,98,0,0,0,0,37,2,0,0,0,0,0,0,5,Lance Barrett,"C.Kluber (4-42-W), J.Schreiber (1), B.Bernardino (1), J.Winckowski (3-H), K.Jansen (0-Sv)"
