,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
106,107,Aug 1,False,PIT,"L,1-4",8.0,8,4,4,0,0,7,1,0,4.49,32,107,77,0,0,0,0,31,1,1,0,0,1,0,0,3,Chad Whitson,"M.Manning (4-46-L), C.Shreve (4), T.Wingenter (4)"
107,108,Aug 2,False,PIT,"W,6-3",9.0,9,3,3,0,5,13,0,0,4.48,41,172,105,3,0,0,0,35,2,0,0,0,1,0,0,5,Roberto Ortiz,"E.Rodríguez (7-54-W), J.Cisnero (2-H), J.Foley (3), A.Lange (3), T.Holton (2-Sv)"
108,109,Aug 4,True,TBR,"L,0-8",9.0,13,8,7,1,3,11,1,0,4.5,44,187,117,2,2,0,0,41,2,0,0,0,0,1,0,6,Mark Ripperger,"R.Olson (6-41-L), C.Shreve (2), B.Brieske (5), T.Wingenter (2), B.White (4), Z.Short (12)"
109,110,Aug 5,True,TBR,"W,4-2",9.0,7,2,1,1,5,11,0,1,4.47,39,159,99,5,1,0,0,33,0,0,0,0,0,0,2,6,Shane Livensparger,"T.Skubal (5-59-W), J.Cisnero (2-H), J.Foley (2-H), T.Holton (2-H), A.Lange (2-H), B.Brieske (0-Sv)"
110,111,Aug 6,True,TBR,"L,6-10",9.0,13,10,8,2,3,9,3,1,4.5,45,158,108,2,2,0,0,41,2,0,0,0,0,0,0,4,Dan Bellino,"M.Manning (4-25-L), A.Vasquez (6), B.White (1), C.Shreve (1)"
111,112,Aug 7,True,MIN,"L,3-9",9.0,12,9,9,0,5,8,2,1,4.54,45,184,109,0,0,0,0,39,3,0,0,0,0,0,0,6,Pat Hoberg,"J.Wentz (8-8-L), B.Brieske (1), T.Holton (1), J.Foley (1), A.Lange (1), Z.Short (2)"
112,113,Aug 8,True,MIN,"W,6-0",9.0,6,0,0,0,3,8,0,0,4.5,35,134,93,0,0,0,0,32,2,0,0,0,0,0,1,3,Nestor Ceja,"E.Rodríguez (5-71-W), J.Cisnero (2), J.Foley (0)"
113,114,Aug 9,True,MIN,"W,9-5",9.0,7,5,5,0,5,11,2,1,4.51,40,161,97,5,1,2,0,34,3,0,0,0,0,0,0,6,Nate Tomlinson,"A.Faedo (16-47), A.Vasquez (2), B.White (2-H), T.Holton (1-W), T.Wingenter (4), J.Cisnero (0-Sv)"
114,115,Aug 10,True,MIN,"W,3-0",9.0,2,0,0,0,3,9,0,0,4.47,32,134,89,0,0,0,0,29,0,0,0,0,0,0,0,3,Brian O'Nora,"R.Olson (5-73-W), C.Shreve (3-H), B.Brieske (2-Sv)"
115,116,Aug 11,False,BOS,"L,2-5",8.0,9,5,4,1,5,7,1,0,4.47,37,154,96,2,1,2,0,32,0,0,1,0,0,1,2,4,Jim Wolf,"T.Skubal (5-37-L), W.Vest (45), B.White (1), A.Vasquez (1)"
116,117,Aug 12,False,BOS,"W,6-2",9.0,8,2,1,1,3,1,1,0,4.44,37,153,99,3,0,0,0,34,1,0,0,0,0,1,1,4,Jeremy Riggs,"M.Manning (5-60-W), T.Holton (2), B.Brieske (1), J.Foley (3-Sv)"
117,118,Aug 13,False,BOS,"L,3-6",8.0,12,6,6,0,2,10,2,0,4.45,38,135,94,0,0,2,0,36,3,1,0,0,0,0,0,4,Mike Muchlinski,"E.Rodríguez (4-30-L), J.Cisnero (3), A.Lange (5), B.White (1)"
118,119,Aug 15,False,MIN,"L,3-5",8.0,7,5,5,0,4,9,1,2,4.46,35,147,90,4,2,2,0,29,1,0,0,0,0,0,1,5,Clint Vondrak,"A.Faedo (5-70), J.Cisnero (1-L), W.Vest (3-BSv), A.Vasquez (3), B.White (1)"
119,120,Aug 16,False,MIN,"W,8-7",9.0,13,7,7,0,4,11,2,0,4.48,42,162,105,5,0,2,0,37,1,0,0,0,1,0,1,6,Gabe Morales,"R.Olson (5-28), B.Brieske (3), T.Holton (3-W), A.Lange (2-H), W.Vest (0-H), J.Foley (3)"
120,121,Aug 18(1),False,CLE,"W,4-2",9.0,5,2,2,0,2,10,0,0,4.46,34,122,86,0,0,0,0,32,1,1,0,0,0,0,0,3,Jeff Nelson,"T.Skubal (6-68-W), T.Holton (1-H), J.Foley (1-Sv)"
121,122,Aug 18(2),False,CLE,"L,1-4",8.0,7,4,4,0,6,5,0,0,4.46,36,152,92,2,1,0,1,30,2,0,0,0,0,0,0,4,Chris Segal,"J.Wentz (10-60), B.Brieske (1-H), A.Vasquez (2-H), J.Cisnero (2-BL)"
122,123,Aug 19,False,CLE,"W,4-3",9.0,9,3,2,1,3,5,1,0,4.44,39,148,94,2,0,0,0,36,2,0,0,0,0,0,0,5,CB Bucknor,"M.Manning (6-57-W), W.Vest (2-H), A.Lange (2-H), A.Vasquez (0-H), J.Foley (0-Sv)"
